title,company,summary,salary
Data Scientist,Lafayette Hospitality Search,They should have extensive knowledge of Tableau and data integration. I am searching for a data scientist/analyst on behalf of one of my client hotels.,"$65,000 - $75,000 a year"
Lead Data Scientist,Aetna,"Aetna takes our candidate's data privacy seriously. The candidate will lead a project team responsible for extracting and manipulating data from multiple, large…",0
Data Scientist - Hux,Deloitte,"As a Hux Senior Data Scientist, you will be tasked with solving data problems end to end. Running experiments and extracting the necessary data.",0
Data Scientist,Soaren Management,To manipulate data and draw insights from large data sets. We're currently looking for an experienced Data Scientist with deep technical and statistical…,0
Data Scientist,New York City DEPT OF INFO TECH & TELECOMM,Data imaging and processing experience; Create data visualizations to communicate insights; A reviewable portfolio of data visualizations;,"$63,031 - $145,000 a year"
Entry Level Data Scientist,IBM,"What You’ll Do as an Entry-Level Data Scientist: Armed with data, modeling expertise, and analytic results, the data scientist communicates conclusions and…",0
Junior Data Scientist,Lowe's Inc.,Develops machine-learning models and data science frameworks to support key initiatives at Lowe's. Supports the creation of an automated insights generation…,0
Data Scientist,AETNA,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources. Benefit eligibility may vary by position.,0
Data Scientist - Supply Chain Analytics,HelloFresh,We're hiring a Data Scientist to join our Supply Chain Analytics Team here at HelloFresh. Results-oriented - You love transforming data into meaningful outcomes…,0
Data Scientist,Sony Pictures Entertainment Inc.,"Sony Pictures Entertainment is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin,…",0
Data Scientist,Digitalogy,"Experience with open source software for data ingestion and data processing. Experience working in teams of analysts, data engineers, statisticians, and data…",$50 - $80 an hour
Data Scientist,Social Science Research Solutions (SSRS),"Develop data visualizations to capture trends and summarize data. SSRS, a leading data-driven survey research and data capture firm, is seeking an experienced…",0
Data Scientist,Lafayette Hospitality Search,They should have extensive knowledge of Tableau and data integration. I am searching for a data scientist/analyst on behalf of one of my client hotels.,"$65,000 - $75,000 a year"
Jr. Data Scientist,Viacom,"Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies.",0
Sports Data Scientist,Awesemo.com LLC,Conduct research using historical sports data. Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data…,"$50,000 - $100,000 a year"
Pricing Data Scientist,Tarifica,Performing routine and ad-hoc data analyses and reconciling/correcting data issues. The primary responsibilities of the Pricing Data Scientist will be to…,0
Pricing Data Scientist,Tarifica,Technical expertise*– We work to apply technology throughout the research process – including using the data we gather to predict pricing trends and building…,0
Lead Data Scientist,Aetna,"Advanced in-depth specialization in mathematical analysis methods, machine learning, statistical analyses, and predictive modeling.",0
Dashboard Engineer/Data Scientist,Praxis Metrics,"You will use pre-built API connections, SQL, and Domo’s other ETL tools to access various databases and prepare the data to be imported into Domo.",$50 - $150 an hour
Sports Data Scientist,Awesemo.com LLC,We're looking for someone to assist in the development of new models to forecast athletic performance in a number of major sports.,"$50,000 - $100,000 a year"
Data Scientist I,AIG,The position will employ both traditional statistical methods and machine learning techniques to answer business questions. MUST have NLP/Text Analytic skills.,0
Data Scientist,PepsiCo,"By focusing on machine learning and automation, the Data Science & Analytics group is pushing the bounds of possibility for PepsiCo and its strategic partners.",0
Data Scientist,Butterfly Network,"Deep experience with Python data science ecosystem: You will be responsible for extracting actionable insights from the usage of our mobile, web and e-commerce…",0
Junior Data Scientist,BlueVine,An excellent understanding of both traditional statistical modeling and Machine Learning techniques and algorithms: Proficiency with Python and SQL.,0
Senior Data Scientist,AETNA,"Demonstrates proficiency in most areas of mathematical analysis methods, machine learning, statistical analyses, and predictive modeling and in-depth…",0
Data Scientist,zioqu,To manipulate data and draw insights from large data sets. The ideal candidate is adept at using large data sets to find opportunities for product and process…,$40 - $45 an hour
Data Scientist,Essani International Client,"Have used machine learning packages and libraries and understand fundamental techniques to building models. Have worked with large unstructured, messy datasets,…",$60 - $70 an hour
Data Scientist,DataDog,"You have significant experience applying machine learning to real business problems. You have mastered working with data in a language such as Python, R, or…",0
Data Scientist,Rice University,"S/he will apply frontier data analytic techniques (predictive modeling, machine learning etc.). Salary Commensurate with Experience and Qualifications.",0
Data Scientist/Research Analyst,Ohio University,Minimum Qualifications Preferred Qualifications Preferred Qualifications: -Experience in medical education or other higher education setting preferred…,0
Federal - Data Scientist,Accenture,3 years of experience in analytics and statistical modeling. 2 years of experience scripting and data analysis in R or Python.,0
Lead Data Scientist,Clarigent Health,"Lead other data scientists and use data and artificial intelligence science with a focus on machine learning techniques to perform research, create new…","$100,000 - $150,000 a year"
Data Scientist,Lafayette Hospitality Search,I am searching for a data scientist/analyst on behalf of one of my client hotels. The ideal candidate for this position will have 2-3 years work experience in…,"$65,000 - $75,000 a year"
Data Scientist I,AIG,The position will employ both traditional statistical methods and machine learning techniques to answer business questions. MUST have NLP/Text Analytic skills.,0
Data Scientist - Retention Analytics,Disney Streaming Services,You will provide expertise on mathematical concepts and machine learning for the broader analytics team and inspire the adoption of advanced analytics and data…,0
